index,Date,production_1,production_2,production_3,Total production (ton),production_1%,production_2%,production_3%,Clusters,outlier
182,2019-09-14,46.10000000000002,19.88369184592296,65.95000000000002,131.933691845923,0.3494179489332967,0.15070973583566408,0.4998723152310393,0,0
183,2019-09-15,45.09999999999998,20.554027013506754,65.10999999999996,130.76402701350668,0.34489607753775875,0.15718410852690948,0.49791981393533186,0,0
184,2019-09-16,44.77000000000004,20.542771385692845,66.05999999999999,131.3727713856929,0.3407859903370791,0.15637008467593347,0.5028439249869873,0,0
185,2019-09-17,42.359999999999964,27.058529264632316,66.86860000000004,136.2871292646323,0.3108143830496894,0.19854060622329242,0.49064501072701827,0,0
186,2019-09-18,42.65999999999999,29.769884942471236,67.82930000000002,140.25918494247125,0.3041512041974109,0.2122490940944913,0.4835997017080978,0,0
187,2019-09-19,44.03,23.999499749874936,66.76859999999998,134.7980997498749,0.3266366520128995,0.1780403417734174,0.49532300621368325,0,0
188,2019-09-20,44.14000000000002,25.07753876938469,67.0872,136.3047387693847,0.32383320197459103,0.1839814154356997,0.49218538258970934,0,0
189,2019-09-21,44.96999999999998,26.16808404202101,64.33930000000001,135.47738404202101,0.3319373216274359,0.19315463039871258,0.47490804797385144,0,0
190,2019-09-22,39.1,30.212606303151574,65.19,134.50260630315157,0.29070068658650106,0.2246246904320668,0.48467462298143227,0,0
194,2019-09-26,39.400000000000006,28.978239119559777,65.90930000000007,134.28753911955985,0.2934002682476824,0.21579246525442441,0.4908072664978932,0,0
195,2019-09-27,46.67,30.35642821410705,65.9186,142.94502821410705,0.32648914469481494,0.21236435148089478,0.46114650382429023,0,0
196,2019-09-28,45.72999999999999,28.664332166083042,66.56830000000001,140.96263216608304,0.3244122168924926,0.20334702697882762,0.4722407561286797,0,0
197,2019-09-29,44.3,29.708604302151073,63.26460000000003,137.2732043021511,0.3227141103408031,0.21641954417236206,0.4608663454868348,0,0
198,2019-09-30,47.180000000000014,28.376688344172084,63.90649999999988,139.46318834417198,0.3382971561181264,0.20347081320228483,0.45823203067958873,0,0
199,2019-10-01,48.49000000000002,26.50575287643822,61.867900000000084,136.86365287643832,0.3542942116544062,0.193665391207758,0.45204039713783584,0,0
200,2019-10-02,47.71999999999996,28.400450225112557,61.08999999999993,137.21045022511245,0.3477869209065986,0.20698460050614037,0.44522847858726106,0,0
206,2019-10-08,26.879999999999967,21.887193596798397,51.82789999999986,100.59509359679822,0.26720985128498864,0.21757714829041155,0.5152130004245998,0,1
210,2019-10-12,50.11,19.776138069034516,57.84860000000002,127.73473806903453,0.39229735589169124,0.15482192524907717,0.4528807188592316,0,0
211,2019-10-13,33.13,26.281890945472735,38.03999999999996,97.45189094547268,0.3399626182578361,0.26969092842106324,0.3903464533211008,0,1
215,2019-10-17,48.27,27.2136068034017,61.98929999999996,137.47290680340166,0.3511237313766148,0.19795614595041297,0.45092012267297227,0,0
216,2019-10-18,41.08000000000002,26.48199099549775,63.989300000000014,131.55129099549777,0.3122736363066627,0.20130544364178132,0.4864209200515561,0,0
217,2019-10-19,45.86999999999996,27.30865432716358,64.55929999999998,137.73795432716352,0.3330236769093199,0.19826528178499306,0.4687110413056871,0,0
218,2019-10-20,46.92,27.478739369684842,64.30790000000003,138.70663936968486,0.33826787393318275,0.198106878622066,0.4636252474447513,0,0
